****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362221 ******* 

Variable    Labels
ER54209    G44B WTR WORKERS COMP-HEAD              
ER54210    AMOUNT WORKERS COMP-HEAD                
ER54225    G44C WTR CHILD SUPPORT INCOME-HEAD      
ER54226    AMOUNT CHILD SUPPORT INCOME-HEAD        
ER55244    H1 HEALTH STATUS-HEAD                   
ER56360    H1 HEALTH STATUS-WIFE                   
ER57656    L37 PARENTS POOR OR?--HD                
ER57659    L40 RACE OF HEAD-MENTION 1              
ER58152    TOTAL FAMILY INCOME-2012                
ER58213    CENSUS NEEDS STANDARD-2012              
ER58217    BEALE RURAL-URBAN CODE                  
ER58223    COMPLETED ED-HD                         
ER58227    COUPLE STATUS OF HEAD                   
ER34201    2013 INTERVIEW NUMBER                   
ER34202    SEQUENCE NUMBER                       13
ER34203    RELATION TO HEAD                      13
ER34216    EMPLOYMENT STATUS                     13
ER60001    RELEASE NUMBER                          
ER60002    2015 FAMILY INTERVIEW (ID) NUMBER       
ER60003    PSID STATE OF RESIDENCE CODE            
ER60017    AGE OF HEAD                             
ER60018    SEX OF HEAD                             
ER60021    # CHILDREN IN FU                        
ER60022    AGE YOUNGEST CHILD                      
ER60026    A4 TYPE DU                              
ER60030    A19 OWN/RENT OR WHAT                    
ER60099    A36 IN PUBLIC OWND PROJ?                
ER60736    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER61101    G25E WHETHER ADC/TANF INCOME-HEAD       
ER61102    AMOUNT ADC/TANF INCOME-HEAD             
ER61117    G25F WHETHER SSI INCOME-HEAD            
ER61119    AMOUNT SSI INCOME-HEAD                  
ER61134    G25G WTR OTHER WELFARE INCOME-HEAD      
ER61135    AMOUNT OTHER WELFARE INCOME-HEAD        
ER61155    AMOUNT VA PENSION INCOME-HEAD           
ER61170    G40A WTR NONVA RETIREMT-HEAD            
ER61171    AMOUNT NONVA RETIREMENT-HEAD            
ER61186    G40B WTR ANNUITIES INCOME-HEAD          
ER61187    AMOUNT ANNUITIES INCOME-HEAD            
ER61202    G40C WTR OTR PENSION INCOME-HEAD        
ER61203    AMOUNT OTR PENSION INCOME-HEAD          
ER61235    G44A WTR UNEMPLOY COMP-HEAD             
ER61236    AMOUNT UNEMPLOY COMP-HEAD               
ER61251    G44B WTR WORKERS COMP-HEAD              
ER61252    AMOUNT WORKERS COMP-HEAD                
ER61267    G44C WTR CHILD SUPPORT INCOME-HEAD      
ER61268    AMOUNT CHILD SUPPORT INCOME-HEAD        
ER62366    H1 HEALTH STATUS-HEAD                   
ER63482    H1 HEALTH STATUS-SPOUSE                 
ER64807    L37 PARENTS POOR OR?--HD                
ER64810    L40 RACE OF HEAD-MENTION 1              
ER65349    TOTAL FAMILY INCOME-2014                
ER65449    CENSUS NEEDS STANDARD-2014              
ER65453    BEALE RURAL-URBAN CODE                  
ER65459    COMPLETED ED-HD                         
ER65463    COUPLE STATUS OF HEAD                   
ER34301    2015 INTERVIEW NUMBER                   
ER34302    SEQUENCE NUMBER                       15
ER34303    RELATION TO HEAD                      15
ER34317    EMPLOYMENT STATUS                     15
ER66001    RELEASE NUMBER                          
ER66002    2017 FAMILY INTERVIEW (ID) NUMBER       
ER66003    PSID STATE OF RESIDENCE CODE            
ER66017    AGE OF REFERENCE PERSON                 
ER66018    SEX OF REFERENCE PERSON                 
ER66021    # CHILDREN IN FU                        
ER66022    AGE YOUNGEST CHILD                      
ER66026    A4 TYPE DU                              
ER66030    A19 OWN/RENT OR WHAT                    
ER66101    A36 IN PUBLIC OWND PROJ?                
ER66783    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER67153    G25E WHETHER ADC/TANF INCOME-RP         
ER67154    AMOUNT ADC/TANF INCOME-RP               
ER67169    G25F WHETHER SSI INCOME-RP              
